GesamtflAEchenübersicht,,,,,,,,,,
FlAEche,Feldfrucht,Vorfrucht,Zyklus,Kalk,Dünger,Pflügen,Walzen,Wachstum,Größe
190,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,3.00
191,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.76
192,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.52
193,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.97
213,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.49
216,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,4.01
215,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,2.83
214,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.44
227,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.28
95,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,5.36
96,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,3.31
97,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,3.09
98,GRAS,GRAS,/,JA,JA,JA,NEIN,GESAEHT,5.85
99,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,2.42
111,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,5.65
116,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,4.52
117,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,1.42
115,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,4.77
83,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,3.98
18,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,8.93
145,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,GEERNTET,2.41
164,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,3.82
49,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,6.43
46,GRAS,GRAS,/,NEIN,NEIN,JA,NEIN,REIF,1.81
139,GRAS,GRAS,/,JA,JA,JA,NEIN,GEERNTET,3.25
112,GRAS,GRAS,/,JA,JA,JA,NEIN,GESAEHT,6.29
113,GRAS,GRAS,/,JA,JA,JA,NEIN,GESAEHT,6.32
114,GRAS,GRAS,/,JA,JA,JA,NEIN,GESAEHT,3.55
1,LEER,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,SCHWARZ,37.41
229,WEIZEN,WEIZEN,H1.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,12.56
32,RAPS,RAPS,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,10.34
31,HAFER,HAFER,H2.1,NEIN,NEIN,NEIN,NEIN,GEERNTET,14.62
30,SOJA,SOJA,B1,NEIN,NEIN,NEIN,NEIN,GEERNTET,5.29
